Instance,Vehicles,Distance
C101,5,362.4
C102,5,361.4
C103,4,361.4
C104,5,359.0
C105,5,362.4
C106,5,362.4
C107,5,362.4
C108,5,362.4
C109,5,362.4
R101,13,1047.0
R102,12,944.9
R103,9,772.9
R104,6,631.2
R105,10,906.6
R106,8,793.6
R107,7,720.4
R108,6,618.2
R109,8,803.2
R110,8,724.9
R111,8,724.9
R112,6,651.1
RC101,9,957.9
RC102,8,844.3
RC103,6,712.6
RC104,5,546.5
RC105,9,888.9
RC106,7,791.9
RC107,6,664.5
RC108,6,598.1
C201,3,360.2
C202,3,360.2
C203,3,359.8
C204,2,353.4
C205,3,359.8
C206,3,359.8
C207,3,359.6
C208,2,350.5
R201,6,800.7
R202,5,712.2
R203,5,606.4
R204,2,509.5
R205,5,703.3
R206,5,647.0
R207,4,584.6
R208,2,487.7
R209,4,600.6
R210,5,663.4
R211,3,551.3
RC201,5,684.8
RC202,5,613.6
RC203,4,555.3
RC204,3,444.2
RC205,5,631.0
RC206,5,610.0
RC207,4,558.6
RC208,,
