Instance,KM+TO Time 1,KM+TO+KN+Solver Time 1,KM+TO Distance 1,KN+Solver Distance 1,Vehicles 1,KM+TO Time 2,KM+TO+KN+Solver Time 2,KM+TO Distance 2,KN+Solver Distance 2,Vehicles 2,KM+TO Time 3,KM+TO+KN+Solver Time 3,KM+TO Distance 3,KN+Solver Distance 3,Vehicles 3,KM+TO Time 4,KM+TO+KN+Solver Time 4,KM+TO Distance 4,KN+Solver Distance 4,Vehicles 4,KM+TO Time 5,KM+TO+KN+Solver Time 5,KM+TO Distance 5,KN+Solver Distance 5,Vehicles 5,KM+TO Time 6,KM+TO+KN+Solver Time 6,KM+TO Distance 6,KN+Solver Distance 6,Vehicles 6,KM+TO Time 7,KM+TO+KN+Solver Time 7,KM+TO Distance 7,KN+Solver Distance 7,Vehicles 7,KM+TO Time 8,KM+TO+KN+Solver Time 8,KM+TO Distance 8,KN+Solver Distance 8,Vehicles 8,KM+TO Time 9,KM+TO+KN+Solver Time 9,KM+TO Distance 9,KN+Solver Distance 9,Vehicles 9,KM+TO Time 10,KM+TO+KN+Solver Time 10,KM+TO Distance 10,KN+Solver Distance 10,Vehicles 10,KM+TO Time,KM+TO+KN+Solver Time
C101,0.001,0.043,192,192,3,0.001,0.034,192,192,3,0.001,0.033,192,192,3,0.001,0.033,192,192,3,0.001,0.032,192,192,3,0.001,0.033,192,192,3,0.001,0.032,192,192,3,0.001,0.034,192,192,3,0.001,0.032,192,192,3,0.001,0.032,192,192,3,0.001,0.034
C102,0.001,0.037,213,213,3,0.001,0.037,213,213,3,0.001,0.034,213,213,3,0.001,0.036,213,213,3,0.001,0.036,213,213,3,0.001,0.038,213,213,3,0.001,0.037,213,213,3,0.002,0.041,213,213,3,0.001,0.035,213,213,3,0.001,0.039,213,213,3,0.001,0.037
C103,0.001,0.049,225,220,3,0.002,0.049,225,220,3,0.002,0.049,225,220,3,0.001,0.049,225,220,3,0.001,0.053,225,220,3,0.001,0.053,225,220,3,0.002,0.049,225,220,3,0.002,0.049,225,220,3,0.002,0.049,225,220,3,0.002,0.052,225,220,3,0.002,0.05
C104,0.002,0.081,216,216,3,0.002,0.085,216,216,3,0.002,0.087,216,216,3,0.003,0.085,216,216,3,0.002,0.084,216,216,3,0.002,0.083,216,216,3,0.002,0.085,216,216,3,0.002,0.082,216,216,3,0.002,0.083,216,216,3,0.002,0.086,216,216,3,0.002,0.084
C105,0.001,0.033,192,192,3,0.001,0.032,192,192,3,0.001,0.033,192,192,3,0.001,0.033,192,192,3,0.001,0.032,192,192,3,0.001,0.032,192,192,3,0.001,0.036,192,192,3,0.001,0.031,192,192,3,0.001,0.031,192,192,3,0.001,0.031,192,192,3,0.001,0.032
C106,0.001,0.032,192,192,3,0.001,0.033,192,192,3,0.001,0.033,192,192,3,0.001,0.035,192,192,3,0.001,0.034,192,192,3,0.001,0.034,192,192,3,0.001,0.032,192,192,3,0.001,0.031,192,192,3,0.001,0.035,192,192,3,0.001,0.031,192,192,3,0.001,0.033
C107,0.001,0.033,192,192,3,0.001,0.031,192,192,3,0.001,0.031,192,192,3,0.001,0.032,192,192,3,0.001,0.032,192,192,3,0.001,0.034,192,192,3,0.001,0.033,192,192,3,0.001,0.033,192,192,3,0.001,0.032,192,192,3,0.001,0.031,192,192,3,0.001,0.032
C108,0.002,0.045,192,192,3,0.002,0.049,192,192,3,0.001,0.045,192,192,3,0.002,0.048,192,192,3,0.002,0.047,192,192,3,0.001,0.046,192,192,3,0.001,0.045,192,192,3,0.001,0.043,192,192,3,0.002,0.045,192,192,3,0.001,0.045,192,192,3,0.001,0.046
C109,0.001,0.084,192,192,3,0.001,0.086,192,192,3,0.001,0.142,192,192,3,0.003,0.096,192,192,3,0.002,0.093,192,192,3,0.001,0.113,192,192,3,0.003,0.093,192,192,3,0.001,0.09,192,192,3,0.004,0.093,192,192,3,0.001,0.083,192,192,3,0.002,0.097
R101,0.175,0.243,692,692,8,0.157,0.222,692,692,8,0.157,0.226,685,685,8,0.157,0.223,692,692,8,0.155,0.223,692,692,8,0.154,0.219,692,692,8,0.163,0.231,685,685,8,0.155,0.222,692,692,8,0.155,0.223,692,692,8,0.154,0.223,692,692,8,0.158,0.225
R102,0.142,0.208,628,617,7,0.141,0.209,628,617,7,0.141,0.216,621,610,7,0.137,0.206,628,617,7,0.136,0.2,628,617,7,0.137,0.212,621,610,7,0.141,0.205,628,617,7,0.138,0.206,628,617,7,0.14,0.206,628,617,7,0.138,0.202,628,617,7,0.139,0.207
R103,0.154,0.212,620,564,5,0.153,0.21,620,564,5,0.003,0.06,587,522,5,0.003,0.06,587,522,5,0.153,0.212,620,564,5,0.158,0.217,620,564,5,0.154,0.21,620,564,5,0.165,0.221,620,564,5,0.002,0.058,587,522,5,0.152,0.21,620,564,5,0.11,0.167
R104,0.003,0.079,529,482,5,0.003,0.08,529,482,5,0.003,0.079,529,482,5,0.004,0.072,523,497,5,0.003,0.074,529,482,5,0.004,0.076,529,482,5,0.004,0.079,529,482,5,0.003,0.07,523,497,5,0.004,0.079,529,482,5,0.005,0.079,529,482,5,0.003,0.077
R105,0.124,0.178,536,536,6,0.122,0.181,600,600,6,0.003,0.056,543,543,6,0.123,0.177,600,600,6,0.004,0.059,570,569,6,0.124,0.182,613,613,6,0.003,0.06,543,543,6,0.003,0.056,543,543,6,0.003,0.057,570,569,6,0.127,0.189,613,613,6,0.063,0.12
R106,0.004,0.067,598,580,5,0.002,0.063,598,580,5,0.003,0.063,598,580,5,0.143,0.224,598,589,7,0.004,0.07,589,573,6,0.002,0.062,598,580,5,0.002,0.055,597,581,5,0.002,0.059,597,581,5,0.003,0.074,606,560,6,0.003,0.074,606,560,6,0.017,0.081
